Name,Birthplace,Arrival Point,Birthdate,Gender,Position,Place of Death,Date of Death,Pic,Site,Primary
Gustave Dore,Strasbourg,Monaco,1832-6-1,M,Artist,Paris,1883-1-23,https://upload.wikimedia.org/wikipedia/commons/6/6a/Dor%C3%A9_by_Nadar_1867_cropped.jpg,,Y
Honore de Balzac,Tours,Monaco,1799-5-20,M,Author,Paris,1850-8-18,http://upload.wikimedia.org/wikipedia/commons/6/68/Honoré_de_Balzac_%281842%29.jpg,,N
Jacques Benazet,Foix,Monaco,1778-12-3,M,Financier,Paris,1848-3-13,http://www.stadtwiki-baden-baden.de/w/images/5/51/JacquesBenazet.jpg,,N
Louise Blanc,Paris,Monaco,1854,F,Manager,Paris,1911,http://www.marcelproust.it/imagg/radziwill_principessa.jpg,,Y
Marie Juliette Louvet,Pierreval,Monaco,1867-5-9,F,Aristocracy,Paris,1930-9-24,http://upload.wikimedia.org/wikipedia/commons/d/d4/JaneAustenSilhouette.png,,Y
Mata Hari,Leeuwarden,Monaco,1876-8-7,F,Artist,Paris,1917-10-15,http://upload.wikimedia.org/wikipedia/commons/4/41/Mata_Hari_2.jpg,,Y
Roland Bonaparte,Paris,Monaco,1858-5-19,M,Aristocrat,Paris,1924-4-14,http://upload.wikimedia.org/wikipedia/en/4/43/Prince_Roland_Bonaparte_3641567004_c517894947_o.jpg,,Y
Sarah Bernhardt,Paris,Monaco,1844-10-22,F,Artist,Paris,1923-3-26,http://upload.wikimedia.org/wikipedia/commons/1/11/Sarah_Bernhardt_by_Paul_Nadar_%28crop%29.jpg,,Y
Marie Félix Blanc,Paris,Monaco,1859-12-22,F,"Manager, Aristocrat",Saint Cloud,1882-8-1,http://upload.wikimedia.org/wikipedia/commons/4/44/Marie_Charlotte_Blanc.jpg,,Y
Serge Diaghilev,Chudovsky,Monaco,1872-3-31,M,"Artist, Consultant",Venice,1929-8-19,http://upload.wikimedia.org/wikipedia/commons/9/97/Sergei_Diaghilev_photo.jpg,,Y
Albert Aubert,France,Monaco,,M,Financier,,,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y
Camille Blanc,Paris,Monaco,1847,M,Financier,,,http://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Portrait_Camille_Blanc.jpg/220px-Portrait_Camille_Blanc.jpg,,Y
Charles Garnier,Paris,Monaco,1825-11-6,M,"Artist, Consultant",,,https://upload.wikimedia.org/wikipedia/commons/c/c2/Charles_Garnier_by_Nadar_-_Leniaud_2003_p142.jpg,,Y
Charles Wells,Hertfordshire,Monaco,1841-1-1,M,Gambler,,,http://www.promote-casino.com/wp-content/uploads/2011/10/Charles-Deville-Wells.jpg,,Y
Claude Blanc,Courthezon,Monaco,,M,,,,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,N
Coco Chanel,Saumur,Monaco,1883-7-19,F,Artist,,,https://upload.wikimedia.org/wikipedia/en/3/30/Coco_Chanel%2C_1920.jpg,,Y
Colette,Yonne,Monaco,1873-1-28,F,Artist,,,https://upload.wikimedia.org/wikipedia/commons/0/0d/SidonieGabrielleColette.jpg,,Y
Constantin Radziwill,Minsk,Monaco,1850-7-31,M,Financier,,,http://www.marcelproust.it/imagg/radziwill_constantin.jpg,,Y
Consuelo Vanderbilt,New York,Monaco,1877-3-2,F,Aristocrat,,,https://upload.wikimedia.org/wikipedia/commons/9/91/Consuelo_Vanderbilt2.jpg,,Y
Duc de Valmy,Paris,Monaco,1802-3-14,M,Financier,,,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y
Edith Wharton,New York,Monaco,1862-1-24,F,Artist,,,https://upload.wikimedia.org/wikipedia/commons/3/3a/Edith_Newbold_Jones_Wharton.jpg,,Y
Edmond Blanc,Paris,Monaco,1856-2-22,M,Financier,,1920,https://upload.wikimedia.org/wikipedia/commons/0/05/Edmond_Blanc.jpg,,Y
Eugene Marquet,Monaco,Monaco,1864,M,Monegasque,,,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y
Eynaud,Paris,Monaco,,M,Manager,,,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y
Francois Blanc,Courthezon,Monaco,1806-12-12,M,Financier,,,http://upload.wikimedia.org/wikipedia/commons/5/54/Portrait_de_Fran%C3%A7ois_Blanc.jpg,,Y
Francois Lefebvre,Paris,Monaco,,M,Financier,,,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y
Henri Wagatha,Germany,Monaco,,M,Manager,,,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y
Joseph Jagger,Yorkshire,Monaco,1830-9-1,M,Gambler,,1892,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y
Jules Laurent Dutrou,Paris,Monaco,1819-4-16,M,Consultant,,1885-4-24,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y
Leon Barthou,Paris,Monaco,,M,Manager,,,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y
Louis Blanc,Courthezon,Monaco,1806-12-12,M,Financier,,1852-01-01,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,N
Ludwig Jacobi,Germany,Monaco,,M,Consultant,,,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y
Magdeleine-Victoire Huguelin,,Monaco,,F,Spouse,,1852-01-01,http://upload.wikimedia.org/wikipedia/commons/d/d4/JaneAustenSilhouette.png,,N
Marie Therese Blanc,Courthezon,Monaco,,F,,,,http://upload.wikimedia.org/wikipedia/commons/d/d4/JaneAustenSilhouette.png,,N
Napoleon Langlois,France,Monaco,,M,Financier,,,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y
Pierre Auguste Daval,France,Monaco,,M,Financier,,,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,y
Pierre Polovtsoff,St. Petersburg,Monaco,1874,M,Financier,,,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y
Rene Leon,Paris,Monaco,1890,M,Financier,,,http://upload.wikimedia.org/wikipedia/commons/a/ab/WALDST3.jpg,,Y
